id,target_tone,gen_model,judge_model,correct,original,rewritten,scores
1,Professional,gpt-4o-mini,gpt-4.1,True,"U guys seriously messed up my project, itâ€™s total crap, fix it ASAP or Iâ€™m done!","Subject: Urgent: Project Revisions Needed

Dear Team,

I hope this message finds you well. I wanted to bring to your attention some concerns regarding the current status of my project. Unfortunately, it does not meet the expected standards, and I believe significant revisions are necessary.

I would appreciate your prompt attention to this matter, as I am eager to see improvements. Thank you for your understanding and cooperation.

Best regards,  
[Your Name]","{""faithfulness"": {""score"": 3, ""reason"": ""The edited email softens the tone and removes the explicit threat ('or I\u2019m done!'), as well as the strong negative language ('seriously messed up', 'total crap'). The core facts (dissatisfaction with the project, request for urgent revision) are preserved, but the intensity and ultimatum are lost.""}, ""completeness"": {""score"": 4, ""reason"": ""The main informational units (project is unsatisfactory, request for revision, urgency) are present. However, the explicit ultimatum ('or I\u2019m done!') is omitted, which is a required unit for full completeness.""}, ""robustness"": {""score"": 5, ""reason"": ""The edited email is clear, professional, and well-structured, with no grammatical or clarity issues.""}, ""overall"": {""score"": 4, ""reason"": ""Average of (3, 4, 5) is 4. The edit is robust and mostly complete, but loses some faithfulness to the original's tone and ultimatum.""}}"
2,Professional,gpt-4o-mini,gpt-4.1,True,"Yo, 

Listen up! Iâ€™m totally swamped right now!!! Like, drowning in work over here!!! I donâ€™t think I can pull off this assignment by the deadline you set!!! Can I please get an extension? Just a little bit of breathing room!!! I swear Iâ€™m not slacking, itâ€™s just one thing after another!! Itâ€™s like the universe is conspiring against me!!! 

Let me know, pretty please!!! 

Thanks a ton!!!","Subject: Request for Extension on Assignment

Dear [Recipient's Name],

I hope this message finds you well. I am currently experiencing a significant workload and am concerned about meeting the deadline for the upcoming assignment. 

I kindly request an extension to allow me some additional time to complete the task to the best of my ability. I assure you that I am fully committed to my responsibilities, and this request is due to unforeseen circumstances.

Thank you for considering my request. I appreciate your understanding.

Best regards,  
[Your Name]  
[Your Position]  
[Your Contact Information]","{""faithfulness"": {""score"": 4, ""reason"": ""All core facts and intent are preserved: the sender is overwhelmed with work, cannot meet the deadline, and requests an extension. However, the edited version omits the strong emotional tone and the specific phrase 'the universe is conspiring against me,' which, while informal, conveys the sender's stress level. The edited version also adds a statement about 'unforeseen circumstances,' which is a slight reinterpretation.""}, ""completeness"": {""score"": 5, ""reason"": ""All required informational units are retained: the request for an extension, the reason (overwhelmed with work), and assurance of commitment. The request for a response is implied in the formal closing.""}, ""robustness"": {""score"": 5, ""reason"": ""The edited email is clear, professional, and well-structured, with correct grammar and logical flow.""}, ""overall"": {""score"": 4, ""reason"": ""Average of (4, 5, 5) is 4.66, rounded down to 4. The edited email is highly faithful, complete, and robust, with only minor reinterpretation of tone and detail.""}}"
3,Professional,gpt-4o-mini,gpt-4.1,True,"I can't believe how terrible this service has been lately, it's absolutely infuriating! Every single time I try to get help, I'm met with complete ignorance and incompetence. Why can't anyone do their job right? It's like nobody cares about the customers at all! I'm so done with this nonsense!","Subject: Feedback on Recent Service Experience

Dear [Recipient's Name],

I hope this message finds you well. I would like to express my concerns regarding the service I have received recently. Unfortunately, my experiences have not met the standards I anticipated, and I have found it quite frustrating.

Each time I seek assistance, I have encountered challenges that suggest a lack of understanding and support. It has left me feeling that customer satisfaction may not be a priority.

I hope my feedback can contribute to improvements in service delivery. Thank you for your attention to this matter.

Best regards,  
[Your Name]  
[Your Contact Information]","{""faithfulness"": {""score"": 3, ""reason"": ""The edited email softens the tone and removes strong emotional language ('infuriating', 'nonsense', 'nobody cares'), and replaces 'complete ignorance and incompetence' with 'lack of understanding and support.' The core complaint about poor service and frustration is preserved, but the intensity and some explicit accusations are reduced.""}, ""completeness"": {""score"": 4, ""reason"": ""The main informational units (complaint about service, frustration, repeated poor experiences, and a call for improvement) are present. However, the explicit accusation of staff not caring and the statement of being 'done' are omitted.""}, ""robustness"": {""score"": 5, ""reason"": ""The edited email is clear, professional, grammatically correct, and well-structured for professional communication.""}, ""overall"": {""score"": 4, ""reason"": ""The average of (3, 4, 5) is 4. The edited email is less faithful to the original's tone and explicitness but retains the main complaint and is robustly written.""}}"
4,Friendly,gpt-4o-mini,gpt-4.1,True,"so, like, i'm totally freaking out over this assignment due soon and honestly, there's just too much on my plate right now. i mean, we've been hustling like crazy at the startup and deadlines are just piling up, u know? 

i was wondering if there's any chance i could get an extension? just a lil bit more time would really help me to pull this together. i promise i'll make it worth it! but my brain is like, mush right now, and i canâ€™t focus on anything. 

please, let me know if this is possible. i really need it, like, ASAP. thx!","Subject: Request for Extension

Hi [Recipient's Name],

I hope youâ€™re doing well! I wanted to reach out about the upcoming assignment. Iâ€™ve been juggling quite a bit lately with our startup, and things have been a little overwhelming. 

I was wondering if it might be possible to get an extension on the assignment? A little extra time would really help me pull everything together. I genuinely want to give it my best effort, but Iâ€™m feeling a bit scattered at the moment. 

If thereâ€™s any chance this could be arranged, I would greatly appreciate it. Thank you so much for considering my request!

Best,  
[Your Name]","{""faithfulness"": {""score"": 5, ""reason"": ""All original facts and intent are preserved: the sender is overwhelmed due to startup work, is requesting an extension, and expresses urgency and gratitude. No new facts are added, and none are omitted.""}, ""completeness"": {""score"": 5, ""reason"": ""All required informational units are retained: the context (overwhelmed due to startup and deadlines), the request for an extension, the reason for the request, and the urgency are all present.""}, ""robustness"": {""score"": 5, ""reason"": ""The edited email is clear, professional, grammatically correct, and well-structured. There are no issues with clarity or logical flow.""}, ""overall"": {""score"": 5, ""reason"": ""All categories scored 5; the edited email is fully faithful, complete, and robust.""}}"
5,Friendly,gpt-4o-mini,gpt-4.1,True,why is this taking so long where's my approval already,"Subject: Quick Check-In on Approval Status

Hi [Recipient's Name],

I hope you're doing well! I wanted to follow up on my approval status, as it seems to be taking a bit longer than expected. I appreciate all your effort, and I'm eager to hear back!

Thank you so much!

Best,  
[Your Name]","{""faithfulness"": {""score"": 4, ""reason"": ""The edited email preserves the core facts: inquiry about delay and request for approval status. However, it softens the tone and adds appreciation and pleasantries, which are not present in the original.""}, ""completeness"": {""score"": 5, ""reason"": ""All required informational units are retained: question about delay and request for approval status.""}, ""robustness"": {""score"": 5, ""reason"": ""The edited email is clear, professional, and well-structured with correct grammar and logical flow.""}, ""overall"": {""score"": 4, ""reason"": ""Average of (4, 5, 5) is 4.66, rounded down to 4.""}}"
6,Friendly,gpt-4o-mini,gpt-4.1,True,"I canâ€™t believe I have to deal with this AGAIN! ğŸ™„ You missed the exam, and now I'm supposed to just accept your excuses? I get it, life happens, but this is getting ridiculous! ğŸ˜¡ Iâ€™m really sorry, but Iâ€™ve already had enough of these absences. Seriously, how hard is it to show up? Iâ€™m so sorry for being blunt, but itâ€™s beyond frustrating! ğŸ˜©

Iâ€™m not trying to be a jerk here, but you need to take this seriously! ğŸ™„ Iâ€™m really sorry I have to say this, but if this keeps happening, I donâ€™t know what to do anymore! ğŸ˜¤ So, please, for the love of all that is good, just communicate better and show up next time! Iâ€™m really sorry if this sounds harsh, but come on! ğŸ˜¡","Subject: A Quick Note About Attendance

Hi there,

I hope you're doing well! I wanted to reach out regarding the recent exam you missed. I understand that life can throw unexpected challenges our way, and I appreciate your circumstances. However, Iâ€™m a bit concerned about the number of absences weâ€™ve had lately.

I really want to see you succeed, and itâ€™s important that we work together on this. If thereâ€™s anything specific youâ€™re facing, please feel free to shareâ€”Iâ€™m here to help! 

Letâ€™s aim for better communication moving forward, and Iâ€™m hopeful we can avoid any future issues. Looking forward to seeing you in class!

Best,  
[Your Name]","{""faithfulness"": {""score"": 2, ""reason"": ""The edited email removes the strong emotional tone, frustration, and repeated emphasis on the sender's exasperation. It also omits the explicit warning about not knowing what to do if absences continue, and the directness about being 'blunt.' The core facts (missed exam, concern about absences, request for better communication) are present, but the emotional intensity and urgency are significantly reduced, which alters the original intent.""}, ""completeness"": {""score"": 4, ""reason"": ""Most required informational units are retained: missed exam, concern about absences, and request for better communication. However, the explicit warning about consequences if the behavior continues is softened and less direct, which is a minor but relevant omission.""}, ""robustness"": {""score"": 5, ""reason"": ""The edited email is clear, professional, and well-structured, with no grammatical or clarity issues.""}, ""overall"": {""score"": 3, ""reason"": ""Average of (2, 4, 5) is 3.66, rounded down to 3. The edited email is much more professional and clear, but it loses some of the original's intent and urgency.""}}"
7,Sympathetic,gpt-4o-mini,gpt-4.1,True,"I CAN'T BELIEVE I MISSED THE MEETING!!! I'm SO SORRY for not being there. I KNOW how important it was, and I feel like I let everyone down. I was juggling a million things, and I really thought I could make it work, but obviously, I messed it up. 

I seriously canâ€™t take this pressure anymore! I KEEP APOLOGIZING, but it feels like itâ€™s not enough. I was so looking forward to discussing our strategy and hearing your thoughts, and now Iâ€™m just sitting here feeling like a total failure. 

PLEASE LET ME KNOW WHAT HAPPENED IN THE MEETING! Iâ€™ll do whatever it takes to catch up. I just canâ€™t believe I let this slip through my fingers. I PROMISE it wonâ€™t happen again! Ugh, Iâ€™m really freaking out here.","Subject: Sincere Apologies for Missing the Meeting

Dear Team,

I hope this message finds you well. I want to express my heartfelt apologies for missing the meeting. I truly understand how important it was, and I feel terrible for not being there. Iâ€™ve been balancing a lot lately, and I genuinely thought I could make it work, but unfortunately, I couldnâ€™t.

The pressure has been quite overwhelming, and I realize my repeated apologies may not feel sufficient. I was really looking forward to discussing our strategy and hearing all of your insights, and now Iâ€™m left feeling quite disappointed in myself.

If you could please share what was discussed in the meeting, I would be incredibly grateful. Iâ€™m committed to catching up and ensuring I stay aligned with the team. I assure you, Iâ€™ll do my best to prevent this from happening again. Thank you for your understanding, and I appreciate your support during this time.

Warm regards,  
[Your Name]","{""faithfulness"": {""score"": 4, ""reason"": ""The edited email preserves the main facts: missing the meeting, apology, understanding the meeting's importance, feeling overwhelmed, desire to catch up, and a promise to do better. However, the edited version softens the emotional intensity and omits the explicit statement of 'freaking out' and 'feeling like a total failure,' which slightly alters the tone and emotional impact.""}, ""completeness"": {""score"": 5, ""reason"": ""All required informational units are retained: apology, acknowledgment of the meeting's importance, request for meeting summary, commitment to catch up, and assurance to prevent recurrence.""}, ""robustness"": {""score"": 5, ""reason"": ""The edited email is clear, professional, grammatically correct, and well-structured for professional use.""}, ""overall"": {""score"": 4, ""reason"": ""Average of (4,5,5) is 4.66, rounded down to 4. The edited email is complete and robust, but slightly less faithful in emotional tone.""}}"
8,Sympathetic,gpt-4o-mini,gpt-4.1,True,"I can't believe I am actually sending this but I totally freaked out and missed the deadline!!! I am so sorry!!! I was up all night trying to finish it and just lost track of time!!! Itâ€™s like my brain just shut down!! Iâ€™ve been trying to stay on top of everything but it feels impossible!!! I know I should have planned better and I keep kicking myself for not doing it!!! Please, please, please can you give me an extension or something??? I promise Iâ€™ll get it done ASAP!!! I just canâ€™t handle this right now!!! Iâ€™m so embarrassed and I hate bothering you with my chaos!!! I really hope you can help me out here!!! Thanks for even considering it!!!","Subject: Request for Extension

Dear [Recipient's Name],

I hope this message finds you well. I find myself in a difficult situation and truly regret having to reach out like this. Despite my best efforts, I unfortunately missed the deadline, and I am sincerely sorry for any inconvenience this may cause.

I spent last night working diligently to complete the task, but I lost track of time, and it feels as though my mind just couldnâ€™t keep up. I've been trying hard to manage everything, but it's proven to be quite overwhelming lately. I recognize that better planning on my part could have prevented this, and Iâ€™m really hard on myself for not achieving that.

If itâ€™s at all possible, I would be incredibly grateful for an extension or any assistance you might be able to provide. I assure you that I will prioritize completing it as soon as I can. I feel quite embarrassed to be in this position and I truly appreciate your understanding.

Thank you so much for considering my request. It means a lot to me.

Warm regards,  
[Your Name]","{""faithfulness"": {""score"": 5, ""reason"": ""All original facts and intent are preserved: the sender missed the deadline, is apologetic, overwhelmed, requests an extension, and expresses embarrassment. No new facts or reinterpretations are introduced.""}, ""completeness"": {""score"": 5, ""reason"": ""All required informational units are retained: missed deadline, apology, explanation of circumstances, request for extension or help, assurance of prompt completion, and emotional context.""}, ""robustness"": {""score"": 5, ""reason"": ""The edited email is clear, professional, grammatically correct, and well-structured for professional use.""}, ""overall"": {""score"": 5, ""reason"": ""All categories score 5; the edited email is fully faithful, complete, and robust.""}}"
9,Sympathetic,gpt-4o-mini,gpt-4.1,True,"Hey team,  

So, like, itâ€™s been forever since we were supposed to get that payment, right? ğŸ˜© I mean, I get it, things happen, but come on! ğŸ˜¤ Itâ€™s like weâ€™re just sitting here twiddling our thumbs while the bills keep piling up. ğŸ“…ğŸ’¸ I donâ€™t even know how much longer we can keep waiting for this. Itâ€™s driving me totally bananas! ğŸ™ˆğŸ’¥ Every day feels like a countdown to disaster.  

Seriously, can someone please give me an update or something? Iâ€™m practically losing my mind here! ğŸ˜µâ€ğŸ’« This whole situation is just giving me major anxiety, and Iâ€™m really tired of feeling this way. ğŸ¥µ Letâ€™s get it together, people!  

Thanksâ€¦ I guess? ğŸ™„","Subject: Request for Update on Payment

Hi Team,

I hope this message finds you well. 

I wanted to reach out regarding the payment we've been anticipating. I understand that sometimes unforeseen circumstances arise, but it's been a while since we were initially expecting it. Iâ€™m starting to feel the stress of our current situation, especially as our obligations continue to grow.

If anyone could provide an update, it would really help ease some of the anxiety surrounding this matter. I appreciate your attention to this, and Iâ€™m hopeful we can find a resolution soon.

Thank you for your understanding.

Best,  
[Your Name]","{""faithfulness"": {""score"": 4, ""reason"": ""The edited email preserves the main facts: overdue payment, stress due to delay, and a request for an update. However, the tone is significantly softened, and some emotional intensity (e.g., 'driving me totally bananas', 'countdown to disaster', 'losing my mind') is reduced or omitted, which slightly alters the original's urgency and frustration.""}, ""completeness"": {""score"": 5, ""reason"": ""All required informational units are retained: reference to overdue payment, impact of the delay, and a request for an update. No essential information is missing.""}, ""robustness"": {""score"": 5, ""reason"": ""The edited email is clear, professional, and well-structured, with correct grammar and logical flow.""}, ""overall"": {""score"": 4, ""reason"": ""Average of (4, 5, 5) is 4.66, rounded down to 4. The edit is complete and robust, but the faithfulness is slightly reduced due to the softened tone and reduced emotional intensity.""}}"
